name,position,team
Clove Mahle,batter,Pies
Will Statter Jr.,batter,Pies
Doc Anice,batter,Pies
Ruslan Greatness,batter,Pies
Eduardo Woodman,batter,Pies
August Obrien,batter,Pies
Jefferson Delacruz,batter,Pies
Ren Hunter,batter,Pies
Lotus Mango,batter,Pies
Tiana Takahashi,pitcher,Pies
Jaxon Buckley,pitcher,Pies
Twofurious Puddles,pitcher,Pies
Lucy Tokkan,pitcher,Pies
Brock Watson,batter,Wild Wings
Fran Beans,batter,Wild Wings
Huber Frumple,batter,Wild Wings
Matteo Cash,batter,Wild Wings
Summers Preston,batter,Wild Wings
Joshua Watson,batter,Wild Wings
Burke Gonzales,batter,Wild Wings
Scarlet Caster,batter,Wild Wings
Beans McBlase,pitcher,Wild Wings
Silvia Rugrat,pitcher,Wild Wings
Stephanie Winters,pitcher,Wild Wings
Foxy Kane,pitcher,Wild Wings
Cell Barajas,pitcher,Wild Wings
Nandy Slumps,pitcher,Wild Wings
Rafael Davids,pitcher,Wild Wings
Washer Barajas,batter,Magic
Francisco Preston,batter,Magic
Bevan Wise,batter,Magic
Atlas Diaz,batter,Magic
Bonk Jokes,batter,Magic
Rey Wooten,batter,Magic
Jesús Koch,batter,Magic
Logan Rodriguez,pitcher,Magic
Cravel Gesundheit,pitcher,Magic
Curry Aliciakeyes,pitcher,Magic
King Weatherman,pitcher,Magic
Vito Kravitz,batter,Tacos
Felix Garbage,batter,Tacos
Sexton Wheerer,batter,Tacos
Wanda Schenn,batter,Tacos
Basilio Mason,batter,Tacos
Basilio Fig,batter,Tacos
Lucas Petty,pitcher,Tacos
Silvaire Semiquaver,pitcher,Tacos
Yummy Elliott,pitcher,Tacos
Kennedy Loser,batter,Crabs
Avila Guzman,batter,Crabs
Enid Marlow,batter,Crabs
Pedro Davids,batter,Crabs
Silvaire Roadhouse,batter,Crabs
Zeruel Kramer,batter,Crabs
Kaz Fiasco,batter,Crabs
Lorcan Smaht,pitcher,Crabs
Alston Cerveza,pitcher,Crabs
Axel Campbell,pitcher,Crabs
Fitzgerald Blackburn,batter,Spies
Alexandria Rosales,batter,Spies
Aoife Mahle,batter,Spies
Denzel Scott,batter,Spies
Commissioner Vapor,batter,Spies
Eduardo Perez,batter,Spies
Mohammed Picklestein,batter,Spies
Comfort Septemberish,batter,Spies
Plums Blather,pitcher,Spies
Chet Takahashi,pitcher,Spies
Jomgy Rolsenthal,batter,Dale
Isaac Johnson,batter,Dale
Qais Dogwalker,batter,Dale
Jode Crutch,batter,Dale
Rush Ito,batter,Dale
Richmond Harrison,batter,Dale
Erickson Fischer,batter,Dale
Rivers Clembons,batter,Dale
Rigby Peacelily,pitcher,Dale
Sixpack Santiago,pitcher,Dale
Liam Snail,pitcher,Dale
Howell Rocha,pitcher,Dale
Jonathan Catalina,batter,Lovers
Kurt Crueller,batter,Lovers
Sandford Garner,batter,Lovers
Blimp Hardison,batter,Lovers
Mint Shupe,batter,Lovers
Alexander Horne,batter,Lovers
Silvia Winner,batter,Lovers
Tot Fox,pitcher,Lovers
Jacob Winner,pitcher,Lovers
Percival Wheeler,pitcher,Lovers
Reece Saetang,pitcher,Lovers
Bontgomery Mullock,pitcher,Lovers
King Roland,pitcher,Lovers
Karato Bean,pitcher,Lovers
Gallup Murphy,batter,Shoe Thieves
Conner Haley,batter,Shoe Thieves
Vernon Shotwell,batter,Shoe Thieves
Richardson Games,batter,Shoe Thieves
Oscar Dollie,batter,Shoe Thieves
Badgerson Stromboli,batter,Shoe Thieves
Blood Hamburger,batter,Shoe Thieves
Esme Ramsey,batter,Shoe Thieves
Agan Harrison,batter,Shoe Thieves
Stu Trololol,batter,Shoe Thieves
Donna Milicic,pitcher,Shoe Thieves
Velasquez Alstott,pitcher,Shoe Thieves
Tad Seeth,pitcher,Shoe Thieves
Inky Rutledge,pitcher,Shoe Thieves
Snyder Briggs,pitcher,Shoe Thieves
Rush Valenzuela,batter,Firefighters
Baby Triumphant,batter,Firefighters
Swamuel Mora,batter,Firefighters
Gabriel Griffith,batter,Firefighters
Gita Sparrow,batter,Firefighters
Peanutiel Duffy,batter,Firefighters
Lou Roseheart,batter,Firefighters
Stout Schmitt,batter,Firefighters
Alston England,pitcher,Firefighters
Geepa Beanpot,pitcher,Firefighters
Clare Mccall,pitcher,Firefighters
Wesley Poole,pitcher,Firefighters
Gerund Pantheocide,pitcher,Firefighters
Zi Sliders,pitcher,Firefighters
Hahn Fox,batter,Sunbeams
Son Jensen,batter,Sunbeams
Howell Franklin,batter,Sunbeams
Borg Ruiz,batter,Sunbeams
Eugenia Bickle,batter,Sunbeams
Lars Taylor,batter,Sunbeams
Sandoval Crossing,pitcher,Sunbeams
Zack Sanders,pitcher,Sunbeams
Jayden Wright,pitcher,Sunbeams
Tot Best,pitcher,Sunbeams
Sigmund Castillo,pitcher,Sunbeams
Elvis Figueroa,pitcher,Sunbeams
